Holiday Expenditure Type,Details and Date,SGD,Booking ID
Total,Krisflyer ID,759.8299999999999,8155248396
GO Conference Tickets,18-20 Mar,136.64,-
Flights,"SG to MNL - 15 Mar : 1050 - 1445, Agoda",123.33,1949851646
Flights,"MNL to Cebu - 21 Mar : 0835 - 1000 (forgot 0.38 cashback), Agoda",37.36,1949873084
Flights,"Cebu to SG - 23 Mar : 2045- 0030, Free Lounge, Trip.com",77.5,1578943487659941
Flight Meals,"Cebu Pacific - Not ordered, 24-48h before",10.0,271-4363509
Flight Meals,Philippine Airlines - Ordered PHP 380,10.0,-
Flight Meals,"Cebu Pacific - Not ordered, 24-48h before",10.0,-
Accomodation,"Kingsford Manila - Free Shuttle, Check in 3pm, check out 12pm",150.0,-
Accomodation,Cebu Resort (est),150.0,-
Massage (2h),Kingsford Manila,55.0,-
Activities Spending,-,0.0,-
Food,-,0.0,-
Souvenirs,-,0.0,-
Transport,-,0.0,-
Others,-,0.0,-
